Microgeraá∆o Setg†s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID;Nome;1. Caracter°sticas;;;;;;;2. Condiá‰es Particulares;;;;;3. Produto Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;4. Atributos;;;;;;;;;;;;5. Ofertas alternativas;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Eletricidade;;;;;;;;G†s;;;;;;;;Serviáo Estruturado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Ca;Data in°cio;Data fim;Reclamaá∆o da Divida;Duraá∆o;Penalizaá∆o;Valor;Condiá‰es1;Valor da Condiá∆o1;Condiá‰es2;Valor da Condiá∆o2;Condiá‰es3;Componente b†sica;Restriá∆o1;Valor da Restriá∆o1;Restriá∆o2;Valor da Restriá∆o2;Componente Estruturada Eletricidade;ID Comp. Estruturada Electricidade;Estrutura Tarif†ria;ID Estrutura tarif†ria;Restriá∆o1 ;Valores da Restriá∆o1;Restriá∆o2 ;Valores da Restriá∆o2 ;Componente Estruturada G†s;ID Comp. Estruturada G†s;Estrutura Tarif†ria GN;ID Estrutura tarif†ria GN;Serviáo Estruturado;ID Serviáo Estruturado;Estado do Serviáo;Obrigatoriedade;Serviáo Estruturado 2;ID Serviáo Estruturado 2;Estado do Serviáo 2;Obrigatoriedade 2;Estrutura tarif†ria;ID Estrutura tarif†ria;DÇbito Directo (ATR0000001);Obrigatoriedade;Conta Certa (ATR0000002);Obrigatoriedade;Correspondància electr¢nica (ATR0000003);Obrigatoriedade ;Entidade Parceira;Obrigatoriedade;Valor EP;Valor benÇfico EP;Unidade EP;Aplicado a EP;Eletricidade;G†s;;;;;;;;;;;;;
1;OFR4380552;Plano edp Sporting;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;N/A;;;;;;;;;;;;;
2;OFR2080041;Plano edp Sporting Total Lisboag†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Lisboag†s;-;-;Plano edp Sporting Total Lisboag†s;CB01523633;PLANO SPORTING Total Lisboag†s ;ET09629765;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Lisboag†s 2013/01;;;;;;;;;;;;;
3;OFR1000245;Plano edp Sporting Total edp g†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;edp g†s;-;-;Plano edp Sporting Total edp g†s;CB02395685;PLANO SPORTING Total edp g†s ;ET05809012;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa edp g†s 2013/01;;;;;;;;;;;;;
4;OFR2952093;Plano edp Sporting Total Beirag†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Beirag†s;-;-;Plano edp Sporting Total Beirag†s;CB05078663;PLANO SPORTING Total Beirag†s ;ET07296234;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Beirag†s 2013/01;;;;;;;;;;;;;
5;OFR6540143;Plano edp Sporting Total Lusitaniag†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Lusitaniag†s;-;-;Plano edp Sporting Total Lusitaniag†s;CB06016755;PLANO SPORTING Total Lusitaniag†s ;ET05726071;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Lusitaniag†s 2013/01;;;;;;;;;;;;;
6;OFR5277565;Plano edp Sporting Total Setg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Setg†s;-;-;Plano edp Sporting Total Setg†s;CB00269114;PLANO SPORTING Total Setg†s ;ET07063530;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Setg†s 2013/01;;;;;;;;;;;;;
7;OFR5975676;Plano edp Sporting Total Paxg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Paxg†s;-;-;Plano edp Sporting Total Paxg†s;CB09538765;PLANO SPORTING Total Paxg†s ;ET08724693;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Paxg†s 2013/01;;;;;;;;;;;;;
8;OFR3882125;Plano edp Sporting Total Durienseg†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Durienseg†s;-;-;Plano edp Sporting Total Durienseg†s;CB02985112;PLANO SPORTING Total Durienseg†s ;ET05344387;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Durienseg†s 2013/01;;;;;;;;;;;;;
9;OFR4405513;Plano edp Sporting Total Dianag†s;Contrat†vel;10-12-2012;31-12-9999;Residenciais;0;Ser∆o debitados, ao cliente, os valores j† calculados pela aplicaá∆o das Estruturas tarif†rias.;0;-;-;-;-;-;E+G;-;-;-;-;Plano edp Sporting E;CB09397061;PLANO SPORTING Total E;ET00967226;Distribuidor;Dianag†s;-;-;Plano edp Sporting Total Dianag†s;CB07586918;PLANO SPORTING Total Dianag†s ;ET05693051;-;-;-;-;-;-;-;-;-;-;x;Obrigat¢rio;-;-;x;Facultativo;x;Obrigat¢rio;SCP;-;-;-;Plano edp Sporting;Casa Dianag†s 2013/01;;;;;;;;;;;;;
